Distance_(mm),Gray_Value
0.0000,74.667
0.1103,74.667
0.2206,74.667
0.3309,74.667
0.4412,74.667
0.5515,74.667
0.6618,74.667
0.7721,74.667
0.8824,74.667
0.9927,74.667
1.1030,74.667
1.2133,74.667
1.3236,74.667
1.4339,74.667
1.5442,74.667
1.6545,74.667
1.7648,74.901
1.8751,75.000
1.9854,75.000
2.0957,75.000
2.2060,75.000
2.3163,75.000
2.4266,75.072
2.5369,75.333
2.6472,75.333
2.7575,75.333
2.8678,75.333
2.9781,75.333
3.0883,75.333
3.1986,75.333
3.3089,75.333
3.4192,76.144
3.5295,77.000
3.6398,77.000
3.7501,77.000
3.8604,77.000
3.9707,77.000
4.0810,77.000
4.1913,77.000
4.3016,76.611
4.4119,76.809
4.5222,77.000
4.6325,77.000
4.7428,77.000
4.8531,77.000
4.9634,77.000
5.0737,77.000
5.1840,77.000
5.2943,77.288
5.4046,79.443
5.5149,79.180
5.6252,79.000
5.7355,79.000
5.8458,79.468
5.9561,80.288
6.0664,82.108
6.1767,83.348
6.2870,84.504
6.3973,86.553
6.5076,87.027
6.6179,88.638
6.7282,91.811
6.8385,94.261
6.9488,97.009
7.0591,98.891
7.1694,101.108
7.2797,103.570
7.3900,106.344
7.5003,109.377
7.6106,112.259
7.7209,114.778
7.8312,117.572
7.9415,120.501
8.0518,124.952
8.1621,127.400
8.2724,134.754
8.3827,137.000
8.4930,142.493
8.6033,142.860
8.7136,140.647
8.8239,140.198
8.9342,140.323
9.0445,139.695
9.1548,140.016
9.2650,143.976
9.3753,155.365
9.4856,161.290
9.5959,160.369
9.7062,158.179
9.8165,154.696
9.9268,150.145
10.0371,145.444
10.1474,143.977
10.2577,143.083
10.3680,144.975
10.4783,147.712
10.5886,149.998
10.6989,149.301
10.8092,147.117
10.9195,142.875
11.0298,138.913
11.1401,142.780
11.2504,142.981
11.3607,139.938
11.4710,137.258
11.5813,135.691
11.6916,133.077
11.8019,130.026
11.9122,126.164
12.0225,122.962
12.1328,123.901
12.2431,123.200
12.3534,123.367
12.4637,123.564
12.5740,122.288
12.6843,119.012
12.7946,114.440
12.9049,109.611
13.0152,107.812
13.1255,108.363
13.2358,104.717
13.3461,101.034
13.4564,98.856
13.5667,97.622
13.6770,96.090
13.7873,93.362
13.8976,90.910
14.0079,89.049
14.1182,87.646
14.2285,86.432
14.3388,85.071
14.4491,83.218
14.5594,81.369
14.6697,80.378
14.7800,79.215
14.8903,78.333
15.0006,78.333
15.1109,76.843
15.2212,74.775
15.3315,73.604
15.4417,71.518
15.5520,70.667
15.6623,70.699
15.7726,71.326
15.8829,70.960
15.9932,69.856
16.1035,69.618
16.2138,68.843
16.3241,67.400
16.4344,66.146
16.5447,66.000
16.6550,64.991
16.7653,64.667
16.8756,65.809
16.9859,66.333
17.0962,65.901
17.2065,65.333
17.3168,65.333
17.4271,65.144
17.5374,64.333
17.6477,64.333
17.7580,64.333
17.8683,64.333
17.9786,63.550
18.0889,63.333
18.1992,63.333
18.3095,62.793
18.4198,62.333
18.5301,62.333
18.6404,62.036
18.7507,61.333
18.8610,61.198
18.9713,60.333
19.0816,60.333
19.1919,60.333
19.3022,59.523
19.4125,59.333
19.5228,59.333
19.6331,58.766
19.7434,58.820
19.8537,59.333
19.9640,59.333
20.0743,59.289
20.1846,59.333
20.2949,59.333
20.4052,59.333
